word,hiragana,meaning
いつでも,いつでも,"(adverb) (at) any time, always, at all times, whenever"
いつのまにか,いつのまにか,"(adverb) before one knows, before one becomes aware of, unnoticed, unawares"
いっぱん,いっぱん,"(nouns) general, liberal, universal, ordinary, average"
一方,いっぽう,"(noun) one (esp. of two), the other, one way, the other way, one direction, the other direction, one side, the other side, one party, the other party; (conjunction) on the one hand, on the other hand, whereas, although, but at the same time, meanwhile, in turn; (noun,) (after noun, adjective-stem or plain verb) just keeps, being inclined to ..., tending to be ..., tending to do ..., continuously ..., just keeps on ...ing, only"
いつまでも,いつまでも,"(adverb) forever, for good, eternally, as long as one likes, indefinitely, no matter what"
いつも,いつも,"(noun) always, usually, every time, never (with neg. verb)"
移転,いてん,"(noun) moving, transfer, demise"
糸,いと,"(noun,) thread, yarn, string"
いど,いど,(noun) water well
移動,いどう,"(noun) removal, migration, movement, mobile (e.g. communications)"
いとこ,いとこ,(noun) male cousin
いとこ,いとこ,(noun) cousin (female)
以内,いない,"(noun,) within, inside of, less than"
いなか,いなか,"(nouns) rural area, countryside, the sticks, hometown"
犬,いぬ,"(noun) dog (Canis (lupus) familiaris), snoop (i.e. a detective, a spy, etc.); (noun,) counterfeit, inferior, useless, wasteful"
いね,いね,(noun) rice-plant
命,いのち,(noun) (mortal) life
いはん,いはん,"(noun) violation (of law), transgression, infringement, breach"
いふく,いふく,(noun) clothes
今,いま,"(noun) now, the present time, just now, soon, immediately, (one) more"
今にも,いまにも,"(adverb) at any time, soon"
意味,いみ,"(noun) meaning, significance"
イメージ,イメージ,"(noun) (one's) image, (computer) image, artist's impression"
妹,いもうと,(noun) younger sister
いや,いや,"(noun) disagreeable, detestable, unpleasant, reluctant"
いや,いや,"(noun) no, the noes"
いよいよ,いよいよ,"(adverb) more and more, all the more, increasingly, at last, finally, beyond doubt, (at the) last moment, worst possible time"
以来,いらい,"(noun) since, henceforth"
いらい,いらい,"(noun) request, commission, dispatch, despatch, dependence, trust"
いらいら,いらいら,"(adverb) getting nervous, irritation"
いらっしゃい,いらっしゃい,"(noun) (used as a polite imperative) come, go, stay, welcome!"
いらっしゃる,いらっしゃる,"(intransitive) to come, to go, to be (somewhere); (auxiliary) (after a -te form, or the particle ""de"") is (doing), are (doing)"
入口,いりぐち,"(nouns) entrance, entry, gate, approach, mouth"
いりょう,いりょう,"(nouns) medical care, medical treatment"
居る,いる,"(intransitive) to be (of animate objects), to exist, to stay; (auxiliary) (after the -te form of a verb) verb indicating continuing action or state (i.e. to be ..ing, to have been ..ing)"
入れる,いれる,"(transitive) to put in, to let in, to take in, to bring in, to insert, to set (a jewel, etc.), to admit, to accept, to employ, to hire, to accept, to comply, to grant, to adopt (a policy, etc.), to take (advice, etc.), to listen to, to pay attention to, to include, to pay (one's rent, etc.), to cast (a vote), to make (tea, coffee, etc.), to turn on (a switch, etc.), to send (a fax), to call"
色,いろ,"(noun) colour, color, complexion, appearance, look, love, lust, sensuality, love affair, lover, kind, type, variety"
岩,いわ,"(noun) rock, crag"
祝い,いわい,"(noun) congratulation, congratulations, celebration, festival, congratulatory gift"
言わば,いわば,"(adverb) so to speak, so to call it, as it were"
いわゆる,いわゆる,"(pre-noun) what is called, as it is called, the so-called, so to speak"
~員,~いん,
インク,インク,(nouns) ink
インキ,インキ,(nouns) ink
印刷,いんさつ,(noun) printing
印象,いんしょう,(noun) impression
引退,いんたい,(noun) retire
インタビュー,インタビュー,"(noun) interview (i.e. television, newspaper, etc.)"
ウイスキー,ウイスキー,"(noun) whisky, whiskey"
ウーマン,ウーマン,(nouns) woman
ウール,ウール,(noun) wool
上,うえ,"(noun,) above, up, over, top, summit, surface, on, before, previous, superiority, one's superior (i.e. one's elder), on top of that, besides, what's more, upon (further inspection, etc.), based on (and occurring after), matters concerning..., as concerns ..., since (i.e. ""for that reason""); (noun,) suffix indicating higher social standing, place of one's superior (i.e. the throne), emperor, sovereign, shogun, daimyo, noblewoman (esp. the wife of a nobleman)"
ウエートレス,ウエートレス,(noun) waitress
魚,うお,(noun) fish
うがい,うがい,"(noun) cormorant fishing, cormorant fisherman"
うかがう,うかがう,"(transitive) to visit, to ask, to inquire, to hear, to be told; (Godan) to implore (a god for an oracle), to seek direction (from your superior); (intransitive) to visit, to speak to (a large crowd at a theatre, etc.)"
うく,うく,"(intransitive) to float, to become merry, to become loose, to feel out of it, to be cut off (e.g. from those around you)"
受付,うけつけ,"(noun) reception (desk), information desk; (noun) receipt, acceptance"
動く,うごく,"(intransitive) to move, to stir, to shift, to shake, to swing, to operate, to run, to go, to work, to be touched, to be influenced, to change, to vary, to fluctuate, to waver, certain, factual, to be transferred"
牛,うし,"(noun) cattle, cow, ox, oxen, beef, Chinese ""Ox"" constellation (one of the 28 mansions)"
失う,うしなう,"(transitive) to lose, to part with"
内,うち,"(nouns) inside, within, while, among, amongst, between; (nouns) we (referring to one's in-group, i.e. company, etc.), our; (nouns) my spouse; (noun) imperial palace grounds, emperor; (nouns) I (primarily used by women and children), me"
うち,（三つの~）,"(nouns) house, home (one's own); (nouns) (one's) family, (one's) household"
打合せ,うちあわせ,"(noun) business meeting, previous arrangement, appointment"
うちゅう,うちゅう,"(noun) universe, cosmos, space"
打つ,うつ,"(Godan) to hit (something inanimate), to strike, to beat (on something), to type, to tap (e.g. a key), to inject, to indulge in gambling, to visit (on a pilgrimage)"
うっかり,うっかり,"(noun) carelessly, thoughtlessly, inadvertently"
美しい,うつくしい,"(adjective) beautiful, lovely"
うで,うで,"(noun) arm, skill"
うどん,うどん,(noun) udon (thick Japanese wheat noodles)
うなずく,うなずく,"(intransitive) to nod, to bow one's head in assent"
うなる,うなる,"(intransitive) to groan, to moan, to roar, to howl, to growl, to hum, to buzz, to sough"
うばう,うばう,"(transitive) to snatch away, to dispossess, to steal"
馬,うま,"(noun) horse, promoted bishop (shogi)"
うまい,うまい,"(adjective) skillful, clever, expert, wise, successful, delicious, appetizing, appetising, fortunate, splendid, promising"
生まれ,うまれ,"(noun) birth, birthplace"
生まれる,うまれる,(intransitive) to be born
海,うみ,"(noun) sea, beach"
有無,うむ,"(noun) existence or nonexistence, presence or absence, consent or refusal, yes or no; (noun) flag indicator, presence or absence marker"
うめ,うめ,"(noun) plum, Japanese apricot, prunus mume, lowest (of a three-tier ranking system)"
うめる,うめる,"(transitive) to cover, to bury (e.g. one's face in hands), to submerge, to fill (completely), to stuff, to pack, to cram, to fill up"
うやまう,うやまう,"(transitive) to show respect, to honour, to honor"
うら,うら,"(noun) bottom (or another side that is hidden from view), undersurface, opposite side, reverse side, rear, back, behind (the house), lining, inside, out of sight, behind the scenes, proof, opposite (of a prediction, common sense, etc.), inverse (of a hypothesis, etc.), bottom (of an inning), last half (of an inning)"
うらやましい,うらやましい,"(adjective) envious (feeling, etc.), jealous, enviable (position, etc.)"
うらやむ,うらやむ,(transitive) to envy
売上,うりあげ,"(noun) amount sold, proceeds"
売り切れ,うりきれ,(noun) sold-out
売り切れる,うりきれる,(intransitive) to be sold out
売り場,うりば,"(nouns) place where things are sold, point of sale, POS, sales floor, counter (in shop)"
売る,うる,(transitive) to sell
うるさい,うるさい,"(noun) noisy, loud, fussy, annoying, troublesome, tiresome, importunate, bossy"
うれしい,うれしい,"(adjective) happy, glad, pleasant"
売行き,うれゆき,"(noun) sales, demand"
売れる,うれる,"(intransitive) to sell (well), to be well known, to be popular, to be famous"
うろうろ,うろうろ,"(noun) loiteringly, aimless wandering"
上~,うわ~,
うん,（感）,"(interjection) yeah, uh huh; (noun,) some (at the start of a number in place of a digit)"
運,うん,"(noun) fortune, luck"
運転,うんてん,"(nouns) operation, motion, driving"
うんと,うんと,"(adverb) a great deal, very much, a lot, with a great amount of effort"
運動,うんどう,"(noun) motion, exercise"
え,え,"(noun) handle, grip, stalk (of a mushroom, leaf, etc.)"
絵,え,"(noun,) picture, drawing, painting, sketch"
えいが,えいが,"(nouns) movie, film"
えいきょう,えいきょう,"(noun) influence, effect"
営業,えいぎょう,"(noun) business, trade, sales, operations"
英語,えいご,(nouns) English (language)
えいせい,えいせい,(nouns) satellite
えいよう,えいよう,"(nouns) nutrition, nourishment"
ええ,ええ,"(interjection) yes, that is correct, right, um, errr, huh?, grrr, gah, Must I?; (noun) good"
ええと,ええと,"(interjection) let me see, well, errr ..."
笑顔,えがお,"(noun) smiling face, smile"
えがく,えがく,"(transitive) to draw, to paint, to sketch, to depict, to describe"
駅,えき,(noun) station
エスカレーター,エスカレーター,(noun) escalator
枝,えだ,"(noun) branch, bow, bough, twig, limb"
エチケット,エチケット,(noun) etiquette
エネルギー,エネルギー,(noun) energy
エプロン,エプロン,(noun) apron
選ぶ,えらぶ,"(transitive) to choose, to select"
エレベーター,エレベーター,"(noun) elevator, lift"
円,えん,"(noun) Yen, money; (noun) circle"
~円,~えん,
~園,~えん,
えんき,えんき,"(noun) postponement, adjournment"
演技,えんぎ,"(nouns) acting, performance"
えんげき,えんげき,(nouns) play (theatrical)
円周,えんしゅう,(nouns) circumference
えんじょ,えんじょ,"(nouns) assistance, aid, support"
エンジン,エンジン,(noun) engine
演説,えんぜつ,"(noun) speech, address"
えんそう,えんそう,(noun) musical performance
えんちょう,えんちょう,"(noun) extension, elongation, prolongation, lengthening; (noun) Enchou era (923.4.11-931.4.26)"
お,お,"(prefix) honourable, honorable"
おん~,おん~,
おい,おい,"(noun) old age, old person, the old, the aged"
おいかける,おいかける,"(transitive) to chase, to run after, to pursue"
おいしい,おいしい,"(adjective) delicious, tasty, nice (move in sport, trick, etc., nuance of being easy or a bit lucky), sweet"
おいでになる,おいでになる,"(Godan) to be, to come, to go"
オイル,オイル,"(noun) oil, engine oil, kerosene"
王,おう,"(noun,) king, ruler, sovereign, monarch, king (for senior player) (shogi)"
追う,おう,"(transitive) to chase, to run after, to pursue, to follow (i.e. a set order, a trend), to drive out, to oust, to expel, to drive (i.e. a herd), (in passive voice) to be pressed (for time, etc.)"
おうえん,おうえん,"(noun) aid, assistance, help, reinforcement, rooting, barracking, support, cheering"
王子,おうじ,(noun) prince
おうじる,おうじる,"(intransitive) to respond, to satisfy, to accept, to comply with, to apply for"
おうふく,おうふく,"(nouns) round trip, coming and going, return ticket"
おうべい,おうべい,"(nouns) Europe and America, the West"
おうよう,おうよう,"(noun) application, put to practical use"
終える,おえる,(transitive) to finish
おお~,大~,
おおい,おおい,"(adjective) many, numerous"
大いに,おおいに,"(adverb) very, much, greatly, a lot of"
大きい,おおきい,"(adjective) big, large, great, loud"
オーケストラ,オーケストラ,(noun) orchestra
大勢,おおぜい,"(nouns) many, crowd, great number of people"
オートメーション,オートメーション,(noun) automation
オートバイ,オートバイ,(noun) motorcycle
オーバー,オーバー,"(noun) overcoat, over, exceeding, going beyond, exaggeration, ball hit over the head of an outfielder (baseball)"
オーバーコート,オーバーコート,(noun) overcoat
おおよそ,おおよそ,"(noun) about, roughly, as a rule, approximately"
おか,おか,"(noun) hill, height, knoll, rising ground"
お母さん,おかあさん,(noun) mother
お帰り,おかえり,(noun) return; (interjection) welcome home
おかげ,おかげ,"(noun) (your) backing, assistance, thanks or owing to"
おかけください,おかけください,"(Expressions) please sit down, please have a seat"
おかげさまで,おかげさまで,"(Expressions) Thanks to god, thanks to you"
おかしい,おかしい,"(adjective) strange, funny, amusing, ridiculous"
おかず,おかず,"(noun) accompaniment for rice dishes, side dish, food for thought (esp. in the context of conversation, or material for assisting arousal during masturbation)"
おかまいなく,おかまいなく,(Expressions) please don't fuss over me
お代わり,おかわり,"(noun) second helping, another cup, seconds; (interjection) command to have dog place its second paw in one's hand"
~おき,~おき,
おきのどくに,おきのどくに,"(Expressions) my sympathies, that's too bad, my condolences"
おく,おく,"(noun) interior, inner part, inside"
置く,おく,"(Godan) to put, to place, to leave (behind), to do something in advance (usu. following te-form verb)"
おく,おく,"(numeric) 10^8, 100,000,000, hundred million"
おくさん,おくさん,"(noun) wife, your wife, his wife, married lady, madam"
おくりがな,おくりがな,"(noun) kana written after a kanji to complete the full (usually kun) reading of the word (may inflect), declensional kana ending"
送る,おくる,"(transitive) to send (a thing), to dispatch, to despatch, to take or escort (a person somewhere), to see off (a person), to bid farewell (to the departed), to bury, to spend (time), to live one's life, to pass (down the line), to affix okurigana"
おくる,おくる,"(transitive) to send, to give to, to award to, to confer on"
おげんきで,おげんきで,
お子さん,おこさん,(noun) (someone else's) child
行う,おこなう,"(Godan) to perform, to do, to conduct oneself, to carry out"
おさえる,おさえる,"(transitive) to pin something down, to hold something down, to hold something back, to stop, to restrain, to curb, to seize, to grasp, to arrest, to gain control of something, to govern, to keep down (e.g. information), to suppress, to catch happening, to determine (important points), to find (proof), to understand"
おさきに,おさきに,"(adverb) before, previously, ahead; (Expressions) Pardon me for leaving (before you)"
おじ,おじ,(noun) uncle (older than one's parent)
おじいさん,おじいさん,"(noun) grandfather, male senior-citizen"
おしいれ,おしいれ,(noun) closet
おじさん,おじさん,"(noun) uncle, old man, mister (vocative), manybar goatfish (Parupeneus multifasciatus)"
小父さん,おじさん,"(noun) uncle, old man, mister (vocative), manybar goatfish (Parupeneus multifasciatus)"
おじさん,おじさん,"(noun) uncle, old man, mister (vocative), manybar goatfish (Parupeneus multifasciatus)"
おしゃれ,おしゃれ,"(nouns) smartly dressed, stylish, fashion-conscious; (noun) someone smartly dressed; (noun) to dress up, to be fashionable"
おしゃべり,おしゃべり,"(noun) chattering, talk, idle talk, chat, chitchat, gossip, chatty, talkative, chatterbox, blabbermouth"
おじゃまします,おじゃまします,"(Expressions) excuse me for disturbing (interrupting) you, greeting used on going to someone's home"
おす,おす,"(transitive) to push, to press, to apply pressure from above, to press down, to stamp (i.e. a passport), to apply a seal"
おせわになりました,おせわになりました,
おせん,おせん,"(noun) pollution, contamination"
おだいじに,おだいじに,(Expressions) take care of yourself
おたがい,おたがい,"(noun) mutual, reciprocal, each other"
おっしゃる,おっしゃる,"(transitive) to say, to speak, to tell, to talk"
夫,おっと,"(noun) wife, dear (formerly used by romantically linked men and women to refer to one another), garnish (esp. one served with sashimi), embellishment"
おてあらい,おてあらい,(noun) font of purifying water placed at the entrance of a shrine
おでかけ,おでかけ,"(noun) about to start out, just about to leave or go out"
